transcript_id,company,speaker_role,risk_type,expectations
0.0,Amphenol Corporation,CFO,economic downturn,neutral
0.0,Amphenol Corporation,CEO,economic downturn,neutral
0.0,Amphenol Corporation,President & COO,economic downturn,neutral
0.0,Amphenol Corporation,CFO,economic downturn,neutral
0.0,Amphenol Corporation,CFO,slowdown in spending,neutral
0.0,Amphenol Corporation,CFO,economic downturn,neutral
0.0,Amphenol Corporation,CFO,economic downturn,neutral
0.0,Amphenol Corporation,CFO,economic downturn,neutral
0.0,Amphenol Corporation,CFO,economic downturn,neutral
0.0,Amphenol Corporation,CFO,uncertain demand environment,neutral
0.0,Amphenol Corporation,CFO,economic downturn,neutral
1.0,PPL Corporation,Director of Investor Relations,earnings forecast,neutral
2.0,Atmos Energy Corporation,CEO,seasonal,neutral
2.0,Atmos Energy Corporation,CEO,market,neutral
2.0,Atmos Energy Corporation,CEO,operational,neutral
2.0,Atmos Energy Corporation,CEO,market,neutral
2.0,Atmos Energy Corporation,CEO,operational,neutral
2.0,Atmos Energy Corporation,CEO,market,neutral
2.0,Atmos Energy Corporation,CEO,operational,neutral
2.0,Atmos Energy Corporation,CEO,market,neutral
3.0,Medtronic,CEO,market,neutral
3.0,Medtronic,CEO,product,neutral
3.0,Medtronic,CEO,market,neutral
3.0,Medtronic,CEO,market,neutral
4.0,Pall Corporation,CEO,market,neutral
5.0,Home Depot,CEO,economic downturn,neutral
5.0,Home Depot,CEO,housing market,neutral
5.0,Home Depot,CEO,credit markets,neutral
5.0,Home Depot,CEO,unemployment,neutral
5.0,Home Depot,CEO,regional economic differences,neutral
5.0,Home Depot,CEO,global economic weakness,neutral
5.0,Home Depot,CEO,implementation challenges,neutral
6.0,Assurant,CEO,market volatility,neutral
6.0,Assurant,CEO,investment losses,neutral
6.0,Assurant,CEO,market volatility,neutral
6.0,Assurant,CEO,market volatility,neutral
7.0,Newmont Mining Cooperation,President and Chief Executive Officer,industry,neutral
7.0,Newmont Mining Cooperation,President and Chief Executive Officer,operational,neutral
7.0,Newmont Mining Cooperation,President and Chief Executive Officer,industry,neutral
7.0,Newmont Mining Cooperation,President and Chief Executive Officer,operational,neutral
7.0,Newmont Mining Cooperation,President and Chief Executive Officer,operational,neutral
7.0,Newmont Mining Cooperation,President and Chief Executive Officer,industry,neutral
7.0,Newmont Mining Cooperation,President and Chief Executive Officer,operational,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CFO,economic,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
8.0,MMC,CEO,market,neutral
9.0,Philip Morris International,Louie Camilleri,currency,neutral
9.0,Philip Morris International,Louie Camilleri,economic downturn,neutral
9.0,Philip Morris International,Louie Camilleri,consumer behavior,neutral
9.0,Philip Morris International,Louie Camilleri,currency,neutral
10.0,Adobe Inc.,CEO,economic environment,neutral
10.0,Adobe Inc.,CEO,forward-looking statements,neutral
10.0,Adobe Inc.,CEO,competition,neutral
10.0,Adobe Inc.,CEO,product diversification,neutral
11.0,Ceradyne,CEO,economic downturn,neutral
11.0,Ceradyne,CEO,investment valuation,neutral
11.0,Ceradyne,CEO,acquisition related,neutral
11.0,Ceradyne,CEO,investment valuation,neutral
12.0,J.M. Smucker Company,CFO,commodity price volatility,neutral
12.0,J.M. Smucker Company,President and Co-Chief Executive Officer,competitive,neutral
12.0,J.M. Smucker Company,CFO,competitive,neutral
13.0,Transocean Limited,Vice President of Investor Relations and Communications,cyclical industry,neutral
13.0,Transocean Limited,Chief Executive Officer,cyclical industry,neutral
13.0,Transocean Limited,"Senior Vice President, Chief Financial Officer",cyclical industry,neutral
13.0,Transocean Limited,Vice President of Investor Relations and Communications,cyclical industry,neutral
14.0,"AutoZone, Inc.",CEO,competition,neutral
14.0,"AutoZone, Inc.",CEO,product demand,neutral
14.0,"AutoZone, Inc.",CEO,economy,neutral
14.0,"AutoZone, Inc.",CEO,credit markets,neutral
14.0,"AutoZone, Inc.",CEO,ability to hire and retain qualified employees,neutral
14.0,"AutoZone, Inc.",CEO,consumer debt levels,neutral
14.0,"AutoZone, Inc.",CEO,inflation,neutral
14.0,"AutoZone, Inc.",CEO,weather,neutral
14.0,"AutoZone, Inc.",CEO,raw material costs of suppliers,neutral
14.0,"AutoZone, Inc.",CEO,energy prices,neutral
14.0,"AutoZone, Inc.",CEO,"war and the prospect of war, including terrorist activity",neutral
14.0,"AutoZone, Inc.",CEO,availability of consumer transportation,neutral
14.0,"AutoZone, Inc.",CEO,construction delays,neutral
14.0,"AutoZone, Inc.",CEO,access to available and feasible financing,neutral
14.0,"AutoZone, Inc.",CEO,changes in laws or regulations,neutral
